,id,synopsis,rating,genre,director,writer,theater_date,dvd_date,runtime_in_minutes,main_genre,supporting_genre
271,357,"Planet 51 is a galactic-sized animated alien adventure comedy revolving around American astronaut Captain Charles ""Chuck"" Baker, who lands on Planet 51 thinking he's the first person to step foot on it. To his surprise, he finds that this planet is inhabited by little green people who are happily living in a white picket fence world reminiscent of a cheerfully innocent 1950s America, and whose only fear is that it will be overrun by alien invaders...like Chuck",PG,Action and Adventure|Animation|Comedy|Kids and Family,Jorge Blanco,Joe Stillman,2009-11-20,2010-03-09,91,Action and Adventure,Animation|Comedy|Kids and Family
272,359,"Sylvester Stallone returns to the character which made him famous in this wildly successful sequel. Rocky III starts with the Italian Stallion so famous that his likeness is everywhere, including pinball machines. Fame and complacency soon cause Balboa to lose his title to young thug Clubber Lang (Mr. T), who inadvertently causes the death of Rocky's beloved trainer, Mickey (Burgess Meredith), before their first championship bout. After sinking into a depression, Balboa must regain the love and support of his family, as well as the elusive ""eye of the tiger,"" the hungry need to beat the opponent which former foe Apollo Creed (Carl Weathers) teaches him during this film's de rigueur training sequence. In the end, Balboa faces off against Lang for a second time. ""Eye of the Tiger,"" the theme song Stallone commissioned from the band Survivor, became a huge hit single.",PG,Action and Adventure|Drama,Sylvester Stallone,Sylvester Stallone,1982-05-28,2003-03-18,99,Action and Adventure,Drama
274,363,"Hammer's second outing for the notorious vampire after their hugely successful Dracula (1958), with Christopher Lee returning as the demonic Count. Here he is revived by a devoted servant using the blood of an unwary guest and so begins his reign of terror once more.",NR,Horror,Terence Fisher,Anthony Hinds|Jimmy Sangster,1966-01-12,1998-05-26,90,Horror,
275,364,"When the Addams family welcomes a new baby, they hire a devious nany, Cussack, who falls in love with and marries Fester. Her true intentions are revealed as a serial killer who marries wealthy men but she is no match for the insanity of the Addams.",PG-13,Comedy|Horror,Barry Sonnenfeld,Paul Rudnick,1993-11-19,2000-02-22,94,Comedy,Horror
277,366,"In mid '60s New Hampshire, Mrs. Frankovitz has two daughters, Gwen and troubled 10-year-old Harriet. One day Harriet finds a playmate -- retarded Ricky Schroth. When Mrs. Frankovitz dies, Harriet has to take orders from Gwen. When she eventually learns that Gwen is her mother, Harriet tries to run away.",PG,Drama,Timothy Hutton,Karen Janszen,1998-09-11,2001-07-10,98,Drama,
278,367,They broke everything but her spirit. They took everything but her dream. This is the incredible true story of a fearless Irish heroine driven by her daring vision to escape the slums of Ireland and risk everything on the streets of Vietnam.,PG-13,Drama,Stephen Bradley,Stephen Bradley,2015-05-08,2016-03-01,100,Drama,
280,369,"A former U.S. soldier travels to the Dominican Republic and begins an affair with a woman from his past -- who is now the wife of a ruthless and powerful man. Soon he is almost up to his belt in betrayal, murder, and revenge. Peter Weller and Kelly McGillis star in this suspenseful crime thriller from cult-film director Abel Ferrara.",R,Action and Adventure|Mystery and Suspense,Abel Ferrara,Alan Sharp|Elmore Leonard|James Borrelli,1989-04-01,2003-11-18,97,Action and Adventure,Mystery and Suspense
281,370,"A successful and self-absorbed Los Angeles advertising executive switches airline tickets with a stranger just before boarding a long-delayed flight. When the stranger's plane goes down, killing all aboard, the executive has an epiphany. He later decides to track down the widow of the man he switched tickets with, and they soon fall in love; however she is unaware of the true connection between her late husband and this new love of her life.",PG-13,Drama|Romance,Don Roos,Don Roos,2000-11-17,2001-04-10,106,Drama,Romance
283,373,"Following State Property and Paid in Full, the Roc-A-Fella Film Division releases another straight-to-video hip-hop-orientated movie with the action comedy Paper Soldiers. The story involves a guy named Shawn (comedian Kevin Hart) who wants to be a gangster so he can feed his kid and buy things for his girlfriend. When Shawn's friend Stu (Beanie Sigel) gets arrested and thrown in jail, Shawn keeps trying to be a criminal. Features appearances by Jay-Z, Memphis Bleek, and other hip-hop stars. Directed by Roc-A-Fella Records CEO Damon Dash and starring his cousin, actress Stacey Dash.",R,Action and Adventure|Comedy|Drama|Mystery and Suspense,Damon Dash|David Daniel,Damon Dash|Charlie Murphy|Terrence Mosley,2002-01-01,2003-03-18,87,Action and Adventure,Comedy|Drama|Mystery and Suspense
285,375,"When a young boy who is about to enter middle school makes a wish that summer will never end, he receives the unique opportunity to live the last day of summer until he finally determines exactly the kind of person he wants to become. It's the last day of summer, and Luke, A.J., and Riley are all about to experience their first day of middle school. As the young trio prepares for the debut of their band Steel Monkey at the local town fair, Luke's older sister makes a comment that leaves her sibling more nervous than ever before at the prospect of entering the next phase of his education. As a result, Luke wishes for a ""do-over"" day, and is surprised when his wish actually comes true. With all the time in the world to impress his secret crush, stand up to the biggest bully in the neighborhood, and work up the courage to take on the local half-pipe, Luke will finally unlock his true potential and enter middle school with a newfound sense of confidence and self-assurance.",R,Comedy|Kids and Family|Television,Blair Treu,Kent Pierce,2007-07-20,2007-08-28,86,Comedy,Kids and Family|Television
286,376,"Diane Keaton directed and starred in this comedy/drama about a family brought together by potential tragedy. In her mid-40s, Eve (Meg Ryan) minds her house, runs a business organizing parties and events for others, and looks after her father (Walter Matthau), an alcoholic former writer who has grown argumentative and increasingly difficult to handle. Eve's sisters -- Georgia (Keaton), who is a few years older and the editor of a successful fashion magazine, and Maddy (Lisa Kudrow), a few years younger and a working actress with a spot on a soap opera -- have also had to deal with Dad, but only by long distance when he makes one of his frequent telephone calls. Dad now doesn't have long to live, and the siblings must pull together and make peace with their father and each other. Sisters Nora Ephron and Delia Ephron adapted the screenplay from Delia's novel; the supporting cast includes Adam Arkin, Cloris Leachman, and Mary Steenburgen.",PG-13,Comedy|Drama,Diane Keaton,Nora Ephron|Delia Ephron,2000-02-18,2000-06-27,95,Comedy,Drama
287,377,"It's 1969, and Elliot Tiber, a down-on-his-luck interior designer in Greenwich Village, New York, has to move back upstate to help his parents run their dilapidated Catskills motel, The El Monaco. The bank's about to foreclose; his father wants to burn the place down, but hasn't paid the insurance; and Elliot is still figuring how to come out to his parents. When Elliot hears that a neighboring town has pulled the permit on a hippie music festival, he calls the producers, thinking he could drum up some much-needed business for the motel. Three weeks later, half a million people are on their way to his neighbor's farm in White Lake, N.Y., and Elliot finds himself swept up in a generation-defining experience that would change his life, and American culture, forever. The film features a standout ensemble cast and songs from a score of '60s musical icons, including The Grateful Dead, The Doors, Jefferson Airplane and Country Joe and the Fish -- plus a new recording of ""Freedom"" from Richie Havens.",R,Comedy|Drama|Musical and Performing Arts,Ang Lee,James Schamus,2009-08-28,2009-12-15,121,Comedy,Drama|Musical and Performing Arts
289,380,"Director Danny Verete's Yellow Asphalt is an anthology of three unrelated stories -- Black Spot, Here is Not There, and Red Roots, respectively. Though the characters and situations in each film are remarkably different (one chronicles the aftermath of a hit-and-run, another concerns an unhappy marriage within a tribal community, and the last follows a woman in a blatantly abusive relationship), the central plots always revolve around the clash of modern Israeli life with ancient nomadic traditions. Yellow Asphalt, unique for its sympathy toward the oppression of Middle Eastern women, took seven years to make, and features Zevik Raz, Moshe Ivgi, Tatjana Blacher, Abed Zuabi, and Motti Katz.",NR,Art House and International|Drama,Dan Verete,Danny Verete,2002-03-15,2005-06-21,83,Art House and International,Drama
292,386,"In this horror sequel from the director of Count Yorga, Vampire, a member of an American voodoo cult revives the fanged Prince Manuwalde (William Marshall), only to become his slave. Manuwalde then puts the bite on various victims, but finds himself fixating on pretty Lisa (Pam Grier), a voodoo princess whom he believes can finally put his soul to rest. Lynne Moody, Nicholas Worth, and Bernie Hamilton are among the familiar cast, but the various occult trappings seem somewhat out of place in the modern Los Angeles setting and the production values are pretty shabby. Blaxploitation and camp fans should still find it mildly amusing, however, and Shakespearean actor Marshall is a lot of fun as the obsessive vampire.",PG,Action and Adventure|Classics|Horror,Bob Kelljan,Joan Torres|Raymond Koenig|Maurice Jules,1973-06-27,2004-01-20,95,Action and Adventure,Classics|Horror
